Graph already exists at: ./input/random_graphs/graph_10_33_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_20_86_POWLAW_6230961512046992311.txt
Running experiments with 1 iterations, varying N from 10 to 10,000 and seed token 1729
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath0_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath1_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath2_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpathN_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath0_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath1_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath2_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpathN_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath0_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath1_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath2_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpathN_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev0_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev1_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev2_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klevN_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev0_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev1_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev2_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klevN_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev0_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev1_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev2_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klevN_k10_seed_1729_itr_1_20250804_101736.csv
Running kpath variant 0 with N=10, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 95.0, Time/Memory: 0.01,4196
Running klev variant N with N=1400, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 95.0, Time/Memory: 0.01,4168
Running klev variant 0 with N=1400, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 86.0, Time/Memory: 0.02,4200
Running klev variant 1 with N=1400, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 90.0, Time/Memory: 0.01,4168
Running klev variant 2 with N=1400, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 97.0, Time/Memory: 0.01,5192
Running klev variant N with N=1400, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 97.0, Time/Memory: 0.01,5192
Running klev variant 0 with N=1400, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 93.0, Time/Memory: 0.02,4176
Running klev variant 1 with N=1400, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 90.0, Time/Memory: 0.01,4168
Running klev variant 2 with N=1400, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 97.0, Time/Memory: 0.02,5192
Running klev variant N with N=1400, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 97.0, Time/Memory: 0.01,5220
Running kpath variant 0 with N=1600, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 55.0, Time/Memory: 0.04,4168
Running kpath variant 1 with N=1600, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 58.0, Time/Memory: 0.06,4168
Running kpath variant 2 with N=1600, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 63.0, Time/Memory: 0.03,4176
Running kpath variant N with N=1600, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 63.0, Time/Memory: 0.03,4168
Running kpath variant 0 with N=1600, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 56.0, Time/Memory: 0.04,5192
Running kpath variant 1 with N=1600, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 51.0, Time/Memory: 0.03,5220
Running kpath variant 2 with N=1600, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 53.0, Time/Memory: 0.02,5212
Running kpath variant N with N=1600, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 53.0, Time/Memory: 0.02,5192
Running kpath variant 0 with N=1600, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 54.0, Time/Memory: 0.03,6216
Running kpath variant 1 with N=1600, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 55.0, Time/Memory: 0.02,6216
Running kpath variant 2 with N=1600, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 52.0, Time/Memory: 0.03,6244
Running kpath variant N with N=1600, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 52.0, Time/Memory: 0.03,6264
Running klev variant 0 with N=1600, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 80.0, Time/Memory: 0.03,4168
Running klev variant 1 with N=1600, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 80.0, Time/Memory: 0.02,4172
Running klev variant 2 with N=1600, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 80.0, Time/Memory: 0.02,4196
Running klev variant N with N=1600, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 80.0, Time/Memory: 0.02,4168
Running klev variant 0 with N=1600, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 80.0, Time/Memory: 0.03,4168
Running klev variant 1 with N=1600, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 80.0, Time/Memory: 0.02,4168
Running klev variant 2 with N=1600, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 80.0, Time/Memory: 0.02,5188
Running klev variant N with N=1600, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 80.0, Time/Memory: 0.02,5192
Running klev variant 0 with N=1600, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 80.0, Time/Memory: 0.03,4192
Running klev variant 1 with N=1600, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 80.0, Time/Memory: 0.02,4196
Running klev variant 2 with N=1600, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 80.0, Time/Memory: 0.03,6216
Running klev variant N with N=1600, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 80.0, Time/Memory: 0.02,5188
Running kpath variant 0 with N=1800, sparsity=2, k=2, seed=1729...
      Average Passes: 8.0,  Average Height: 94.0, Time/Memory: 0.05,5192
Running kpath variant 1 with N=1800, sparsity=2, k=2, seed=1729...
      Average Passes: 8.0,  Average Height: 102.0, Time/Memory: 0.05,5260
Running kpath variant 2 with N=1800, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 91.0, Time/Memory: 0.03,5216
Running kpath variant N with N=1800, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 91.0, Time/Memory: 0.03,4132
Running kpath variant 0 with N=1800, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 90.0, Time/Memory: 0.03,5192
Running kpath variant 1 with N=1800, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 90.0, Time/Memory: 0.02,5192
Running kpath variant 2 with N=1800, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 86.0, Time/Memory: 0.02,4152
Running kpath variant N with N=1800, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 86.0, Time/Memory: 0.01,5192
Running kpath variant 0 with N=1800, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 90.0, Time/Memory: 0.02,6216
Running kpath variant 1 with N=1800, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 77.0, Time/Memory: 0.02,6260
Running kpath variant 2 with N=1800, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 81.0, Time/Memory: 0.02,6216
Running kpath variant N with N=1800, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 81.0, Time/Memory: 0.02,6240
Running klev variant 0 with N=1800, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 114.0, Time/Memory: 0.02,4164
Running klev variant 1 with N=1800, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 117.0, Time/Memory: 0.01,4184
Running klev variant 2 with N=1800, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 122.0, Time/Memory: 0.02,3108
Running klev variant N with N=1800, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 122.0, Time/Memory: 0.01,4172
Running klev variant 0 with N=1800, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 114.0, Time/Memory: 0.02,4168
Running klev variant 1 with N=1800, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 117.0, Time/Memory: 0.01,4196
Running klev variant 2 with N=1800, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 122.0, Time/Memory: 0.02,5220
Running klev variant N with N=1800, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 122.0, Time/Memory: 0.02,5192
Running klev variant 0 with N=1800, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 114.0, Time/Memory: 0.02,4168
Running klev variant 1 with N=1800, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 117.0, Time/Memory: 0.01,3108
Running klev variant 2 with N=1800, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 122.0, Time/Memory: 0.02,6216
Running klev variant N with N=1800, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 122.0, Time/Memory: 0.01,6240
Running kpath variant 0 with N=2000, sparsity=2, k=2, seed=1729...
      Average Passes: 10.0,  Average Height: 234.0, Time/Memory: 0.07,4216
Running kpath variant 1 with N=2000, sparsity=2, k=2, seed=1729...
      Average Passes: 10.0,  Average Height: 234.0, Time/Memory: 0.07,5192
Running kpath variant 2 with N=2000, sparsity=2, k=2, seed=1729...
      Average Passes: 5.0,  Average Height: 243.0, Time/Memory: 0.04,4132
Running kpath variant N with N=2000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 250.0, Time/Memory: 0.04,5216
Running kpath variant 0 with N=2000, sparsity=2, k=5, seed=1729...
      Average Passes: 5.0,  Average Height: 254.0, Time/Memory: 0.04,5188
Running kpath variant 1 with N=2000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 264.0, Time/Memory: 0.03,5192
Running kpath variant 2 with N=2000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 241.0, Time/Memory: 0.03,5192
Running kpath variant N with N=2000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 241.0, Time/Memory: 0.03,5248
Running kpath variant 0 with N=2000, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 262.0, Time/Memory: 0.03,5216
Running kpath variant 1 with N=2000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 257.0, Time/Memory: 0.02,5152
Running kpath variant 2 with N=2000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 250.0, Time/Memory: 0.03,6216
Running kpath variant N with N=2000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 250.0, Time/Memory: 0.02,6216
Running klev variant 0 with N=2000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 242.0, Time/Memory: 0.03,4188
Running klev variant 1 with N=2000, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 255.0, Time/Memory: 0.02,4168
Running klev variant 2 with N=2000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 250.0, Time/Memory: 0.02,5188
Running klev variant N with N=2000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 250.0, Time/Memory: 0.02,5192
Running klev variant 0 with N=2000, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 242.0, Time/Memory: 0.03,4196
Running klev variant 1 with N=2000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 255.0, Time/Memory: 0.02,4164
Running klev variant 2 with N=2000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 250.0, Time/Memory: 0.02,5192
Running klev variant N with N=2000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 252.0, Time/Memory: 0.02,5192
Running klev variant 0 with N=2000, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 242.0, Time/Memory: 0.03,4196
Running klev variant 1 with N=2000, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 255.0, Time/Memory: 0.02,4168
Running klev variant 2 with N=2000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 246.0, Time/Memory: 0.02,6216
Running klev variant N with N=2000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 246.0, Time/Memory: 0.02,6216
Running kpath variant 0 with N=2500, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 73.0, Time/Memory: 0.13,5192
Running kpath variant 1 with N=2500, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 76.0, Time/Memory: 0.12,5216
Running kpath variant 2 with N=2500, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 72.0, Time/Memory: 0.05,5220
Running kpath variant N with N=2500, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 72.0, Time/Memory: 0.07,5220
Running kpath variant 0 with N=2500, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 64.0, Time/Memory: 0.05,5192
Running kpath variant 1 with N=2500, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 70.0, Time/Memory: 0.06,6244
Running kpath variant 2 with N=2500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 62.0, Time/Memory: 0.03,6216
Running kpath variant N with N=2500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 62.0, Time/Memory: 0.04,6216
Running kpath variant 0 with N=2500, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 63.0, Time/Memory: 0.05,7268
Running kpath variant 1 with N=2500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 59.0, Time/Memory: 0.04,7256
Running kpath variant 2 with N=2500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 59.0, Time/Memory: 0.05,7240
Running kpath variant N with N=2500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 59.0, Time/Memory: 0.06,7240
Running klev variant 0 with N=2500, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 100.0, Time/Memory: 0.04,4236
Running klev variant 1 with N=2500, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 101.0, Time/Memory: 0.04,4168
Running klev variant 2 with N=2500, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 103.0, Time/Memory: 0.03,5192
Running klev variant N with N=2500, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 103.0, Time/Memory: 0.04,5220
Running klev variant 0 with N=2500, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 100.0, Time/Memory: 0.05,4192
Running klev variant 1 with N=2500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 101.0, Time/Memory: 0.03,4168
Running klev variant 2 with N=2500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 103.0, Time/Memory: 0.04,5220
Running klev variant N with N=2500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 103.0, Time/Memory: 0.04,5220
Running klev variant 0 with N=2500, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 100.0, Time/Memory: 0.05,4196
Running klev variant 1 with N=2500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 101.0, Time/Memory: 0.04,3168
Running klev variant 2 with N=2500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 103.0, Time/Memory: 0.04,7268
Running klev variant N with N=2500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 103.0, Time/Memory: 0.04,7288
Running kpath variant 0 with N=3000, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 75.0, Time/Memory: 0.10,5220
Running kpath variant 1 with N=3000, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 68.0, Time/Memory: 0.16,5204
Running kpath variant 2 with N=3000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 72.0, Time/Memory: 0.08,5268
Running kpath variant N with N=3000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 72.0, Time/Memory: 0.08,5212
Running kpath variant 0 with N=3000, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 61.0, Time/Memory: 0.11,6232
Running kpath variant 1 with N=3000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 62.0, Time/Memory: 0.09,6236
Running kpath variant 2 with N=3000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 61.0, Time/Memory: 0.10,6216
Running kpath variant N with N=3000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 61.0, Time/Memory: 0.10,6232
Running kpath variant 0 with N=3000, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 65.0, Time/Memory: 0.07,7268
Running kpath variant 1 with N=3000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 58.0, Time/Memory: 0.05,7244
Running kpath variant 2 with N=3000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 61.0, Time/Memory: 0.06,7240
Running kpath variant N with N=3000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 61.0, Time/Memory: 0.06,7240
Running klev variant 0 with N=3000, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 120.0, Time/Memory: 0.06,5188
Running klev variant 1 with N=3000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 116.0, Time/Memory: 0.04,5208
Running klev variant 2 with N=3000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 117.0, Time/Memory: 0.05,5220
Running klev variant N with N=3000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 117.0, Time/Memory: 0.05,5228
Running klev variant 0 with N=3000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 120.0, Time/Memory: 0.06,5212
Running klev variant 1 with N=3000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 116.0, Time/Memory: 0.04,5192
Running klev variant 2 with N=3000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 117.0, Time/Memory: 0.06,6216
Running klev variant N with N=3000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 117.0, Time/Memory: 0.05,6244
Running klev variant 0 with N=3000, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 120.0, Time/Memory: 0.06,5220
Running klev variant 1 with N=3000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 116.0, Time/Memory: 0.04,5192
Running klev variant 2 with N=3000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 117.0, Time/Memory: 0.06,7248
Running klev variant N with N=3000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 117.0, Time/Memory: 0.05,7240
Running kpath variant 0 with N=3500, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 81.0, Time/Memory: 0.12,5248
Running kpath variant 1 with N=3500, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 83.0, Time/Memory: 0.13,4128
Running kpath variant 2 with N=3500, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 74.0, Time/Memory: 0.07,5220
Running kpath variant N with N=3500, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 74.0, Time/Memory: 0.07,5212
Running kpath variant 0 with N=3500, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 76.0, Time/Memory: 0.08,6228
Running kpath variant 1 with N=3500, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 83.0, Time/Memory: 0.06,5156
Running kpath variant 2 with N=3500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 67.0, Time/Memory: 0.04,6244
Running kpath variant N with N=3500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 67.0, Time/Memory: 0.03,6232
Running kpath variant 0 with N=3500, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 72.0, Time/Memory: 0.05,8264
Running kpath variant 1 with N=3500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 71.0, Time/Memory: 0.05,8264
Running kpath variant 2 with N=3500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 74.0, Time/Memory: 0.05,8264
Running kpath variant N with N=3500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 74.0, Time/Memory: 0.05,8292
Running klev variant 0 with N=3500, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 113.0, Time/Memory: 0.06,5220
Running klev variant 1 with N=3500, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 113.0, Time/Memory: 0.04,5208
Running klev variant 2 with N=3500, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 114.0, Time/Memory: 0.04,5192
Running klev variant N with N=3500, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 114.0, Time/Memory: 0.04,5220
Running klev variant 0 with N=3500, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 113.0, Time/Memory: 0.06,5192
Running klev variant 1 with N=3500, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 113.0, Time/Memory: 0.05,5236
Running klev variant 2 with N=3500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 114.0, Time/Memory: 0.05,6216
Running klev variant N with N=3500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 114.0, Time/Memory: 0.04,6232
Running klev variant 0 with N=3500, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 113.0, Time/Memory: 0.06,5248
Running klev variant 1 with N=3500, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 113.0, Time/Memory: 0.04,5192
Running klev variant 2 with N=3500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 114.0, Time/Memory: 0.05,8264
Running klev variant N with N=3500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 114.0, Time/Memory: 0.05,8264
Running kpath variant 0 with N=4000, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 74.0, Time/Memory: 0.24,6216
Running kpath variant 1 with N=4000, sparsity=2, k=2, seed=1729...
      Average Passes: 8.0,  Average Height: 80.0, Time/Memory: 0.27,6216
Running kpath variant 2 with N=4000, sparsity=2, k=2, seed=1729...
      Average Passes: 5.0,  Average Height: 79.0, Time/Memory: 0.21,6236
Running kpath variant N with N=4000, sparsity=2, k=2, seed=1729...
      Average Passes: 5.0,  Average Height: 79.0, Time/Memory: 0.21,6216
Running kpath variant 0 with N=4000, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 60.0, Time/Memory: 0.17,7240
Running kpath variant 1 with N=4000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 72.0, Time/Memory: 0.13,7240
Running kpath variant 2 with N=4000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 66.0, Time/Memory: 0.07,7268
Running kpath variant N with N=4000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 66.0, Time/Memory: 0.07,7268
Running kpath variant 0 with N=4000, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 61.0, Time/Memory: 0.10,8288
Running kpath variant 1 with N=4000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 66.0, Time/Memory: 0.08,8272
Running kpath variant 2 with N=4000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 61.0, Time/Memory: 0.08,8264
Running kpath variant N with N=4000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 61.0, Time/Memory: 0.08,8264
Running klev variant 0 with N=4000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 118.0, Time/Memory: 0.11,5208
Running klev variant 1 with N=4000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 119.0, Time/Memory: 0.06,5192
Running klev variant 2 with N=4000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 119.0, Time/Memory: 0.08,5192
Running klev variant N with N=4000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 119.0, Time/Memory: 0.07,5220
Running klev variant 0 with N=4000, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 118.0, Time/Memory: 0.12,5248
Running klev variant 1 with N=4000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 119.0, Time/Memory: 0.06,5192
Running klev variant 2 with N=4000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 119.0, Time/Memory: 0.09,6212
Running klev variant N with N=4000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 119.0, Time/Memory: 0.09,7260
Running klev variant 0 with N=4000, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 118.0, Time/Memory: 0.11,5192
